         13509479 function calls (13505344 primitive calls) in 67.098 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 parser.py:127(BytesHeaderParser)
       36    0.000    0.000    0.000    0.000 pyparsing.py:1891(__str__)
        1    0.000    0.000    0.000    0.000 __init__.py:256(<dictcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:257(<dictcomp>)
       17    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1260(_fill_cache)
        1    0.000    0.000    0.000    0.000 calendar.py:126(Calendar)
      148    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      144    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1184(<genexpr>)
       28    0.000    0.000    0.000    0.000 ipaddress.py:1612(_make_netmask)
        1    0.000    0.000    0.561    0.561 binary.py:9(<module>)
        1    0.000    0.000    0.000    0.000 pyparsing.py:787(ParserElement)
        1    0.000    0.000    0.000    0.000 cmd.py:52(Cmd)
